epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.248,1.42241,2.9667,1.64834,0.4942,0.35244,0.33245,0.16163,1.9588,3.0951,2.47986,0.000553453,0.000553453,0.000553453
2,110.131,1.63792,2.15757,1.85626,0.26153,0.21625,0.17464,0.08203,2.48554,4.94127,2.89377,0.0011018,0.0011018,0.0011018
3,157.855,1.64552,2.15453,1.88402,0.52707,0.34424,0.36799,0.17901,1.917,3.18885,2.3282,0.00164281,0.00164281,0.00164281
4,215.374,1.55171,2.01492,1.79856,0.55534,0.39226,0.43266,0.23117,1.90457,2.97546,2.45956,0.00163399,0.00163399,0.00163399
5,280.269,1.46408,1.83813,1.71912,0.63715,0.52647,0.59029,0.35952,1.57108,2.06498,1.96435,0.00162299,0.00162299,0.00162299
6,343.93,1.41922,1.72158,1.6857,0.66168,0.49868,0.56012,0.33173,1.66744,2.36138,2.02817,0.00161199,0.00161199,0.00161199
7,407.409,1.32139,1.61232,1.61245,0.70845,0.64599,0.71359,0.45162,1.39819,1.74423,1.7744,0.00160099,0.00160099,0.00160099
8,471.314,1.31172,1.53412,1.5873,0.75939,0.58411,0.70942,0.45176,1.43521,1.72173,1.86319,0.00158998,0.00158998,0.00158998
9,535.237,1.26765,1.44494,1.54459,0.74949,0.65169,0.74459,0.48951,1.31663,1.39578,1.70881,0.00157898,0.00157898,0.00157898
10,598.912,1.21851,1.34885,1.48762,0.77174,0.67001,0.77162,0.49682,1.35683,1.39414,1.73082,0.00156798,0.00156798,0.00156798
11,662.469,1.20119,1.32831,1.49053,0.73778,0.75552,0.80453,0.52062,1.24828,1.29074,1.62771,0.00155698,0.00155698,0.00155698
12,726.273,1.17303,1.28258,1.46612,0.74568,0.68914,0.75771,0.49319,1.27055,1.64126,1.66674,0.00154598,0.00154598,0.00154598
13,790.101,1.16326,1.23607,1.45149,0.76976,0.70061,0.78264,0.5317,1.30866,1.3072,1.6933,0.00153497,0.00153497,0.00153497
14,853.942,1.13285,1.22514,1.44053,0.79703,0.73562,0.82542,0.56093,1.17069,1.13451,1.56009,0.00152397,0.00152397,0.00152397
15,917.982,1.13505,1.21411,1.42376,0.79018,0.72505,0.81582,0.55732,1.22603,1.20293,1.6099,0.00151297,0.00151297,0.00151297
16,981.982,1.10068,1.15657,1.39712,0.80422,0.7754,0.84974,0.57921,1.17732,1.17281,1.56573,0.00150197,0.00150197,0.00150197
17,1045.66,1.10953,1.14812,1.41224,0.82597,0.7645,0.84091,0.57919,1.19823,1.16926,1.57343,0.00149096,0.00149096,0.00149096
18,1109.28,1.09451,1.11955,1.3931,0.84867,0.79671,0.87727,0.61082,1.10458,1.04939,1.51133,0.00147996,0.00147996,0.00147996
19,1173.02,1.07655,1.083,1.37142,0.83125,0.73122,0.82416,0.56722,1.16803,1.22592,1.58472,0.00146896,0.00146896,0.00146896
20,1236.53,1.04143,1.0298,1.35177,0.87466,0.77509,0.87852,0.60961,1.15846,1.01029,1.52276,0.00145796,0.00145796,0.00145796
21,1300.13,1.06041,1.03825,1.36302,0.82052,0.80717,0.88165,0.61194,1.1069,1.07351,1.48725,0.00144696,0.00144696,0.00144696
22,1363.86,1.0312,1.01291,1.33693,0.85942,0.78976,0.88354,0.6084,1.15448,1.00386,1.53673,0.00143595,0.00143595,0.00143595
23,1427.45,1.01943,0.98465,1.321,0.8604,0.79401,0.88365,0.62208,1.11637,0.93088,1.50445,0.00142495,0.00142495,0.00142495
24,1491.47,1.02585,0.99449,1.33228,0.8472,0.76944,0.87368,0.61545,1.10109,1.02113,1.48459,0.00141395,0.00141395,0.00141395
25,1555.05,0.98388,0.94438,1.30776,0.87102,0.80164,0.89313,0.63242,1.08695,0.96362,1.46927,0.00140295,0.00140295,0.00140295
26,1618.38,0.99943,0.94229,1.31526,0.85801,0.83432,0.8931,0.63127,1.08078,0.89768,1.47945,0.00139195,0.00139195,0.00139195
27,1681.83,0.98827,0.94743,1.30472,0.87355,0.83894,0.91604,0.65668,1.05763,0.89223,1.45448,0.00138094,0.00138094,0.00138094
28,1745.26,0.99022,0.93138,1.29495,0.87223,0.84203,0.90891,0.66538,1.04586,0.89097,1.4233,0.00136994,0.00136994,0.00136994
29,1808.81,0.95803,0.88176,1.29242,0.87025,0.82625,0.90707,0.65977,1.03833,0.85596,1.40577,0.00135894,0.00135894,0.00135894
30,1872.56,0.97595,0.89268,1.28717,0.87574,0.85525,0.91815,0.67142,1.01057,0.82564,1.40422,0.00134794,0.00134794,0.00134794
31,1936.31,0.96374,0.88477,1.28068,0.86917,0.85849,0.91348,0.66089,1.03518,0.8195,1.40884,0.00133693,0.00133693,0.00133693
32,1999.65,0.9479,0.86998,1.2738,0.9044,0.85253,0.93148,0.67339,1.02998,0.78793,1.40638,0.00132593,0.00132593,0.00132593
33,2062.97,0.95188,0.87353,1.27772,0.9012,0.85857,0.93184,0.66949,1.01466,0.77566,1.41106,0.00131493,0.00131493,0.00131493
34,2126.23,0.93144,0.84075,1.25962,0.88107,0.85975,0.91985,0.67025,1.03025,0.77712,1.40879,0.00130393,0.00130393,0.00130393
35,2189.36,0.94744,0.84947,1.26656,0.89413,0.84342,0.93326,0.67913,1.01581,0.76956,1.38348,0.00129293,0.00129293,0.00129293
36,2252.75,0.93102,0.84481,1.2695,0.89277,0.83812,0.92333,0.66943,0.9959,0.77666,1.40234,0.00128192,0.00128192,0.00128192
37,2315.78,0.91612,0.81951,1.25072,0.87029,0.86076,0.92416,0.68517,0.99337,0.75511,1.38562,0.00127092,0.00127092,0.00127092
38,2379.07,0.88522,0.7847,1.22627,0.90094,0.8701,0.9395,0.70173,1.00981,0.70924,1.39215,0.00125992,0.00125992,0.00125992
39,2442.24,0.91811,0.80593,1.24095,0.89471,0.85591,0.9288,0.68654,0.96622,0.75274,1.34725,0.00124892,0.00124892,0.00124892
40,2505.29,0.91285,0.79252,1.23837,0.89753,0.87812,0.93896,0.69064,0.98739,0.71478,1.37382,0.00123791,0.00123791,0.00123791
41,2568.11,0.88676,0.77978,1.22862,0.8915,0.88413,0.93681,0.699,0.95953,0.7408,1.34139,0.00122691,0.00122691,0.00122691
42,2630.3,0.90378,0.79534,1.23415,0.90984,0.88556,0.9433,0.6869,0.97226,0.7277,1.34502,0.00121591,0.00121591,0.00121591
43,2693.02,0.87199,0.76228,1.21087,0.91127,0.874,0.93783,0.68916,0.95611,0.71213,1.33875,0.00120491,0.00120491,0.00120491
44,2755.32,0.87797,0.75588,1.21401,0.90199,0.87991,0.94223,0.70005,0.98517,0.70691,1.35961,0.00119391,0.00119391,0.00119391
45,2817.83,0.86415,0.74783,1.19613,0.90796,0.88145,0.94768,0.70096,0.98577,0.68898,1.35879,0.0011829,0.0011829,0.0011829
46,2880.13,0.87072,0.72992,1.20253,0.89842,0.89721,0.94189,0.69209,0.97163,0.67721,1.35271,0.0011719,0.0011719,0.0011719
47,2942.16,0.85413,0.74008,1.20429,0.91616,0.86385,0.94484,0.70527,0.97685,0.68664,1.35459,0.0011609,0.0011609,0.0011609
48,3004.61,0.86084,0.71166,1.1959,0.90712,0.89787,0.94961,0.70848,0.94114,0.66696,1.33914,0.0011499,0.0011499,0.0011499
