epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,131.737,1.61186,2.00402,1.49011,0.55364,0.48762,0.50341,0.23633,1.46875,4.31059,1.28759,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956
2,286.396,1.66864,1.73135,1.5169,0.46993,0.40479,0.40201,0.18779,1.59736,6.24885,1.42689,0.0198567,0.00661892,0.0198567,0.00661892,0.0198567,0.00661892,0.0198567,0.00661892
3,427.268,1.78438,1.91999,1.61013,0.38074,0.34519,0.29813,0.12323,1.76129,9.94862,1.53753,0.0295928,0.00986427,0.0295928,0.00986427,0.0295928,0.00986427,0.0295928,0.00986427
4,557.797,1.81613,1.93547,1.63408,0.50126,0.42418,0.40972,0.18305,1.61836,5.40477,1.47394,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,671.315,1.74514,1.80246,1.59346,0.54963,0.45717,0.47444,0.22031,1.53023,3.57392,1.36228,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,785.423,1.67688,1.67814,1.5519,0.59049,0.53091,0.55748,0.27059,1.44404,3.4048,1.29404,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,899.582,1.63035,1.59968,1.51625,0.60465,0.54673,0.56966,0.28561,1.41791,4.2844,1.27649,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1014.1,1.61495,1.56176,1.49985,0.62101,0.54198,0.58383,0.29316,1.4366,3.41421,1.30595,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1128.98,1.5749,1.49813,1.47681,0.63362,0.57462,0.61645,0.32176,1.37446,3.33961,1.23939,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1243.61,1.55921,1.45164,1.45898,0.61634,0.59508,0.62695,0.32696,1.35041,3.78848,1.21503,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1358.17,1.52534,1.41405,1.44156,0.6602,0.5863,0.64048,0.33978,1.34681,2.96836,1.21419,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1473.37,1.53158,1.38772,1.44724,0.67196,0.60897,0.6632,0.35383,1.32847,2.42553,1.22103,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1588.35,1.51151,1.36078,1.43264,0.66821,0.60286,0.65747,0.35495,1.33957,2.45572,1.19928,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1702.79,1.4916,1.32862,1.40489,0.6722,0.62056,0.6717,0.36194,1.32197,2.32379,1.19562,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1818.06,1.48616,1.31024,1.40496,0.69687,0.63684,0.68915,0.37318,1.28423,2.0261,1.17158,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1933.04,1.47049,1.28806,1.39501,0.71045,0.62314,0.69027,0.3822,1.2883,2.11989,1.17164,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2047.82,1.46836,1.28308,1.39651,0.72982,0.6224,0.70495,0.38429,1.29119,1.98008,1.17801,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2163.04,1.45317,1.25158,1.38534,0.70203,0.63285,0.6964,0.38673,1.26773,2.26314,1.15935,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
