epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,169.378,1.61686,2.10649,1.55438,0.50742,0.4663,0.44771,0.2074,1.51122,9.03119,1.41723,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956
2,324.645,1.67092,1.77981,1.58112,0.50751,0.41664,0.42841,0.19312,1.54763,10.6098,1.45615,0.0198567,0.00661892,0.0198567,0.00661892,0.0198567,0.00661892,0.0198567,0.00661892
3,477.267,1.78368,1.95129,1.6767,0.4306,0.38536,0.36959,0.15912,1.68232,11.6848,1.55229,0.0295928,0.00986427,0.0295928,0.00986427,0.0295928,0.00986427,0.0295928,0.00986427
4,627.838,1.8108,1.97667,1.72047,0.49024,0.44125,0.42847,0.19279,1.62312,5.98684,1.52323,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,790.826,1.73022,1.82205,1.66453,0.53551,0.46691,0.48462,0.22613,1.52077,4.21223,1.4327,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,958.813,1.67064,1.69566,1.61246,0.58944,0.49747,0.54105,0.26662,1.4731,3.05869,1.39765,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1126.98,1.62958,1.6171,1.58249,0.62408,0.52841,0.58295,0.30021,1.42055,3.47047,1.3459,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1295.19,1.60873,1.57328,1.56212,0.61952,0.54407,0.58659,0.29561,1.42103,2.43024,1.35065,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1463.01,1.57341,1.52215,1.5358,0.61901,0.58336,0.61496,0.31769,1.37338,4.02437,1.31137,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1631.08,1.55363,1.46282,1.51528,0.65521,0.59087,0.63562,0.33027,1.34326,2.78909,1.2862,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1799.22,1.52183,1.42877,1.50048,0.68247,0.60087,0.66506,0.35225,1.33557,2.39788,1.28477,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1966.77,1.52999,1.40964,1.50163,0.67963,0.59788,0.6614,0.35136,1.34066,2.83708,1.28266,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2134.92,1.51046,1.37361,1.48558,0.68973,0.60433,0.67333,0.36127,1.29536,2.55032,1.2497,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2302.81,1.4877,1.33491,1.45949,0.67999,0.61664,0.67069,0.36009,1.33287,2.54838,1.27495,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2470.64,1.48285,1.32202,1.46101,0.69064,0.62636,0.68455,0.36856,1.29311,1.87509,1.24961,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2638.88,1.46534,1.30722,1.45049,0.69536,0.63092,0.6904,0.38248,1.28616,1.92868,1.22968,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2806.78,1.46179,1.29095,1.44102,0.70557,0.63835,0.70535,0.38363,1.28372,2.03687,1.23392,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2974.67,1.4519,1.25756,1.43558,0.72405,0.63685,0.71345,0.39396,1.26227,2.08663,1.21878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3142.71,1.44051,1.2624,1.43076,0.70677,0.659,0.71464,0.39784,1.2667,1.68574,1.23467,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3310.49,1.42395,1.21719,1.41278,0.72352,0.6498,0.71962,0.40076,1.27343,2.07645,1.22062,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3478.25,1.42199,1.20841,1.41244,0.71752,0.66779,0.72813,0.40721,1.2624,1.6403,1.20652,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3646.47,1.41531,1.21,1.40795,0.72568,0.654,0.73053,0.40736,1.27418,1.71558,1.21959,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3813.85,1.41173,1.19704,1.40173,0.74839,0.66089,0.74109,0.41435,1.23634,1.61484,1.19281,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3981.27,1.38507,1.17369,1.38636,0.73554,0.67656,0.74296,0.41829,1.23034,1.75784,1.19685,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,4149.17,1.39315,1.16025,1.38444,0.73856,0.67579,0.74254,0.4215,1.2465,1.46218,1.20577,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4316.82,1.38316,1.1437,1.385,0.74637,0.67292,0.74871,0.42486,1.23495,1.45306,1.19888,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,4484.3,1.37325,1.1347,1.38228,0.73726,0.67625,0.74639,0.42791,1.22731,1.6228,1.19105,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,4651.49,1.37075,1.11793,1.3761,0.75731,0.68361,0.75523,0.43128,1.22633,1.47071,1.19086,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,4818.87,1.36499,1.11941,1.37355,0.75346,0.6791,0.75978,0.4363,1.21249,1.23482,1.17791,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,4986.57,1.35603,1.10351,1.36235,0.74914,0.68651,0.75884,0.43637,1.21792,1.30428,1.17739,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,5154.14,1.35016,1.08565,1.3605,0.74921,0.70405,0.7686,0.44682,1.20848,1.18512,1.17312,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,5321.52,1.35339,1.08489,1.35404,0.74992,0.70002,0.76696,0.4441,1.21929,1.1839,1.17432,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,5489.04,1.34108,1.06884,1.34524,0.74353,0.70661,0.76743,0.44523,1.21615,1.15602,1.17127,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,5656.02,1.33602,1.05678,1.34334,0.75076,0.71076,0.77357,0.44964,1.20658,1.13922,1.16999,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,5823.29,1.32788,1.04829,1.34012,0.75594,0.70847,0.77138,0.44771,1.20401,1.2289,1.16743,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
